                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.68923,                0.48111,                0.92682,                0.93558,                 0.9619,                0.97143,                0.80683,                0.62816,                0.58956,                0.82396,              0.0012677,              0.0012677,              0.0012677
                     60,                0.70005,                0.47818,                0.93152,                0.91577,                 0.9249,                 0.9567,                0.78882,                0.66164,                0.52809,                0.81328,              0.0012649,              0.0012649,              0.0012649
                     61,                0.68765,                0.47748,                0.92587,                0.94279,                0.98505,                0.97647,                0.82406,                0.61704,                0.53942,                0.81672,              0.0012621,              0.0012621,              0.0012621
                     62,                0.68141,                0.47979,                0.91468,                0.95865,                0.98414,                0.96943,                0.83128,                0.63402,                0.50736,                0.80302,              0.0012592,              0.0012592,              0.0012592
                     63,                0.70436,                0.48238,                0.92017,                0.88424,                0.99134,                0.96281,                 0.7676,                0.78109,                0.54225,                0.82858,              0.0012564,              0.0012564,              0.0012564
                     64,                0.70391,                0.48215,                0.91685,                0.93047,                0.92675,                0.97947,                0.84446,                0.56457,                 0.4906,                0.80528,              0.0012536,              0.0012536,              0.0012536
                     65,                0.69692,                0.46762,                0.91518,                0.93751,                0.95515,                 0.9685,                0.84053,                0.55083,                0.49892,                0.80358,              0.0012507,              0.0012507,              0.0012507
                     66,                0.67517,                0.47603,                0.92407,                0.93602,                 0.8759,                0.95143,                0.80483,                0.60964,                0.50399,                0.80534,              0.0012479,              0.0012479,              0.0012479
                     67,                  0.694,                0.47864,                0.92241,                0.90338,                0.97906,                0.97495,                 0.8477,                0.59359,                 0.5407,                0.81298,              0.0012451,              0.0012451,              0.0012451
                     68,                0.65017,                0.45244,                0.90919,                0.91772,                0.99102,                0.97262,                0.81156,                0.70008,                 0.5348,                 0.8239,              0.0012423,              0.0012423,              0.0012423
                     69,                0.65981,                0.46274,                0.91757,                0.94917,                0.97531,                0.97562,                0.83774,                0.59048,                0.47255,                0.81083,              0.0012394,              0.0012394,              0.0012394
                     70,                0.66068,                0.45038,                0.90963,                0.92949,                0.97998,                0.97606,                0.86416,                0.56281,                0.49526,                0.79633,              0.0012366,              0.0012366,              0.0012366
                     71,                0.69192,                0.47135,                0.91913,                0.95395,                0.98268,                0.97714,                0.84353,                0.58456,                0.48633,                0.81491,              0.0012338,              0.0012338,              0.0012338
                     72,                0.69878,                0.46676,                0.91702,                0.90545,                0.94936,                0.98328,                0.81746,                 0.6757,                0.52027,                 0.8352,              0.0012309,              0.0012309,              0.0012309
                     73,                0.67413,                0.46242,                0.91771,                0.94366,                0.98778,                0.97335,                0.79826,                0.69673,                0.51667,                0.83684,              0.0012281,              0.0012281,              0.0012281
                     74,                0.73156,                0.49284,                0.92263,                0.95648,                0.98076,                0.97224,                0.85282,                0.58967,                0.49362,                0.81068,              0.0012253,              0.0012253,              0.0012253
