                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     92,                 0.6027,                0.40908,                0.90001,                 0.9386,                0.98749,                0.97897,                0.84706,                0.67774,                0.62356,                0.82223,             0.00079238,             0.00079238,             0.00079238
                     93,                0.59935,                0.41979,                0.89453,                 0.9641,                0.96425,                0.98048,                0.87298,                0.56324,                0.53798,                0.81858,             0.00078531,             0.00078531,             0.00078531
                     94,                0.60161,                0.39291,                0.89137,                0.93687,                0.96774,                0.97722,                0.85494,                0.57287,                0.55291,                0.83213,             0.00077823,             0.00077823,             0.00077823
                     95,                0.62205,                0.40039,                0.89589,                 0.9546,                0.98701,                 0.9743,                0.86727,                 0.5871,                0.56127,                0.83482,             0.00077116,             0.00077116,             0.00077116
                     96,                 0.5858,                0.38249,                0.89936,                0.94936,                0.97746,                0.97457,                 0.8639,                0.57281,                0.60047,                0.83163,             0.00076409,             0.00076409,             0.00076409
                     97,                0.58271,                0.38643,                0.89655,                0.95363,                 0.9872,                0.98257,                0.85657,                0.57286,                0.55043,                0.82872,             0.00075701,             0.00075701,             0.00075701
                     98,                0.55626,                0.37181,                0.88394,                0.95802,                0.98866,                0.97747,                0.85357,                0.57358,                0.55715,                0.82882,             0.00074994,             0.00074994,             0.00074994
                     99,                0.59706,                 0.3879,                 0.9018,                 0.9492,                 0.9253,                0.96998,                0.85576,                0.56723,                0.57366,                0.83459,             0.00074287,             0.00074287,             0.00074287
                    100,                0.54229,                0.37231,                0.87446,                0.92615,                0.91049,                0.94994,                0.82653,                0.62167,                0.64332,                0.83992,             0.00073579,             0.00073579,             0.00073579
                    101,                  0.577,                0.38526,                0.89447,                0.93594,                0.91881,                0.95517,                0.83594,                0.59117,                0.56067,                0.83366,             0.00072872,             0.00072872,             0.00072872
                    102,                0.54792,                0.37325,                0.88367,                    0.9,                0.98778,                0.95955,                 0.8389,                0.58911,                0.57933,                0.83899,             0.00072164,             0.00072164,             0.00072164
                    103,                0.56683,                0.38729,                0.88687,                0.95851,                0.98277,                 0.9813,                0.87063,                 0.5867,                0.54496,                0.85547,             0.00071457,             0.00071457,             0.00071457
                    104,                0.57089,                0.38743,                0.88008,                0.95118,                0.97916,                0.97408,                0.85876,                0.66262,                0.58081,                0.85822,              0.0007075,              0.0007075,              0.0007075
                    105,                0.57926,                0.40282,                0.88283,                0.94824,                0.98716,                0.97335,                0.86223,                0.58714,                0.53315,                0.84723,             0.00070042,             0.00070042,             0.00070042
                    106,                0.56545,                0.37851,                0.88387,                0.95694,                0.99567,                0.97387,                0.86113,                0.58905,                0.58878,                0.86094,             0.00069335,             0.00069335,             0.00069335
                    107,                0.56088,                0.37415,                0.89212,                0.94626,                0.97622,                0.98086,                0.86772,                0.57954,                0.51428,                0.84982,             0.00068628,             0.00068628,             0.00068628
                    108,                0.56194,                0.37186,                0.88949,                0.94922,                0.97741,                0.98247,                 0.8826,                0.54507,                0.49189,                 0.8225,              0.0006792,              0.0006792,              0.0006792
                    109,                 0.5442,                 0.3659,                0.88493,                0.93686,                0.97136,                0.97653,                0.86078,                0.55053,                0.54281,                 0.8314,             0.00067213,             0.00067213,             0.00067213
                    110,                0.53709,                0.35876,                 0.8785,                0.91264,                0.98006,                0.97842,                0.87042,                0.54445,                0.54554,                0.82672,             0.00066506,             0.00066506,             0.00066506
                    111,                0.54032,                0.36902,                0.88691,                 0.9631,                0.98434,                0.98247,                0.87214,                 0.5723,                0.50332,                0.82778,             0.00065798,             0.00065798,             0.00065798
                    112,                0.54599,                 0.3826,                0.88516,                0.95091,                0.98681,                0.98283,                0.84582,                0.61537,                0.52475,                0.84784,             0.00065091,             0.00065091,             0.00065091
                    113,                0.56063,                0.37538,                0.89449,                0.95051,                0.98454,                 0.9812,                0.88006,                0.54527,                0.51453,                 0.8427,             0.00064384,             0.00064384,             0.00064384
                    114,                 0.5236,                0.35875,                0.87853,                0.95491,                0.99039,                0.98293,                0.88494,                0.57235,                0.54479,                0.83783,             0.00063676,             0.00063676,             0.00063676
                    115,                0.52304,                0.36632,                0.88308,                0.95018,                0.99263,                0.98149,                0.85731,                0.56571,                0.52642,                0.82704,             0.00062969,             0.00062969,             0.00062969
                    116,                0.53039,                0.35686,                0.87417,                0.95462,                0.99184,                0.98037,                0.84382,                0.64446,                0.59659,                0.84474,             0.00062262,             0.00062262,             0.00062262
