                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     51,                0.72852,                0.53792,                0.93732,                0.94357,                0.98869,                0.96906,                0.82985,                0.63396,                0.49062,                 0.8374,              0.0010824,              0.0010824,              0.0010824
                     52,                0.74823,                0.53969,                0.94659,                0.86884,                0.93655,                0.93047,                  0.776,                0.69799,                0.51663,                 0.8518,              0.0010753,              0.0010753,              0.0010753
                     53,                0.72516,                0.52026,                0.94149,                0.93415,                0.92713,                 0.9565,                0.83518,                0.63796,                0.48001,                0.83243,              0.0010682,              0.0010682,              0.0010682
                     54,                0.72217,                 0.5081,                0.93232,                0.90893,                0.97399,                0.97754,                0.82875,                0.67711,                 0.4797,                0.83431,              0.0010612,              0.0010612,              0.0010612
                     55,                  0.727,                0.51639,                0.93473,                0.90184,                0.92713,                0.96348,                0.83752,                0.65402,                0.47773,                0.83717,              0.0010541,              0.0010541,              0.0010541
                     56,                0.73248,                0.51259,                0.94651,                0.89473,                0.92696,                0.95936,                0.82077,                0.65659,                0.47271,                 0.8341,               0.001047,               0.001047,               0.001047
                     57,                0.70473,                0.50396,                0.93917,                0.93264,                0.92713,                0.95324,                0.79977,                0.69819,                0.49333,                0.84747,                0.00104,                0.00104,                0.00104
                     58,                0.69937,                 0.5159,                0.94095,                0.96211,                0.97913,                0.97684,                0.82045,                0.64347,                0.45867,                0.83449,              0.0010329,              0.0010329,              0.0010329
                     59,                 0.7017,                0.49384,                0.93857,                0.93933,                0.98555,                 0.9796,                0.84182,                0.65855,                0.47653,                0.82917,              0.0010258,              0.0010258,              0.0010258
                     60,                0.67705,                0.48529,                0.92514,                0.94916,                0.99594,                0.97726,                0.84752,                0.59792,                0.43821,                0.83049,              0.0010187,              0.0010187,              0.0010187
                     61,                0.68898,                 0.5005,                 0.9294,                0.95462,                0.99478,                0.97974,                 0.8508,                0.60919,                0.44421,                0.82648,              0.0010117,              0.0010117,              0.0010117
                     62,                 0.6903,                0.49156,                0.92714,                 0.9082,                0.98253,                0.97105,                0.84528,                0.59572,                 0.4496,                0.82567,              0.0010046,              0.0010046,              0.0010046
                     63,                 0.6937,                0.50927,                0.93672,                0.89316,                0.98382,                0.98152,                0.87541,                0.60479,                0.46102,                0.81751,             0.00099751,             0.00099751,             0.00099751
                     64,                0.68371,                0.49092,                0.92672,                0.90462,                0.98701,                0.97799,                0.86981,                0.59559,                0.43308,                0.82637,             0.00099044,             0.00099044,             0.00099044
                     65,                0.68752,                 0.4877,                0.93399,                0.89335,                0.98002,                0.96299,                0.80918,                0.65394,                0.47736,                0.83801,             0.00098337,             0.00098337,             0.00098337
                     66,                0.71547,                 0.4865,                0.92981,                0.92519,                0.92123,                0.95016,                0.81342,                0.61635,                0.47012,                0.83019,             0.00097629,             0.00097629,             0.00097629
                     67,                0.71626,                0.47389,                   0.93,                 0.9006,                0.93579,                0.95759,                0.81905,                0.61125,                0.47535,                0.83011,             0.00096922,             0.00096922,             0.00096922
                     68,                  0.695,                0.46485,                0.93403,                0.93556,                0.91895,                0.95657,                0.83968,                0.57983,                 0.4556,                0.82281,             0.00096215,             0.00096215,             0.00096215
                     69,                0.65761,                0.46334,                0.92351,                0.89098,                0.93146,                0.96376,                0.84241,                0.61027,                0.44313,                0.84009,             0.00095507,             0.00095507,             0.00095507
                     70,                0.68722,                0.48162,                0.93212,                0.89435,                0.92065,                0.96016,                 0.8641,                0.57635,                0.45761,                0.82483,               0.000948,               0.000948,               0.000948
                     71,                0.69297,                0.47435,                0.92582,                0.95838,                0.96663,                0.97428,                0.80227,                0.64888,                0.45083,                0.84201,             0.00094093,             0.00094093,             0.00094093
                     72,                0.70336,                  0.488,                0.93863,                0.94297,                0.97845,                0.98197,                0.86773,                0.59124,                0.45781,                0.81642,             0.00093385,             0.00093385,             0.00093385
                     73,                0.69138,                0.48366,                0.92725,                0.94445,                 0.9869,                0.97136,                0.83708,                0.58278,                 0.4246,                0.84154,             0.00092678,             0.00092678,             0.00092678
                     74,                0.67118,                0.46399,                0.91668,                0.95577,                0.99028,                0.97769,                0.84537,                0.61539,                0.43516,                0.83847,              0.0009197,              0.0009197,              0.0009197
                     75,                0.65799,                0.46657,                0.92304,                0.95067,                0.97014,                0.97451,                0.82744,                0.60357,                0.45726,                0.82267,             0.00091263,             0.00091263,             0.00091263
                     76,                0.63555,                0.45536,                0.91026,                0.90327,                0.99517,                 0.9665,                0.83526,                0.62612,                 0.4452,                0.82345,             0.00090556,             0.00090556,             0.00090556
                     77,                0.65395,                0.45793,                0.91377,                0.90711,                0.98057,                0.96612,                0.84359,                0.63267,                0.45883,                0.82909,             0.00089848,             0.00089848,             0.00089848
                     78,                0.67897,                0.45997,                 0.9236,                0.93639,                0.94974,                0.98095,                0.84296,                0.61158,                0.46182,                0.81334,             0.00089141,             0.00089141,             0.00089141
                     79,                0.73329,                0.49548,                0.93324,                0.87334,                0.98764,                0.97162,                0.80824,                0.69181,                 0.4899,                0.83712,             0.00088434,             0.00088434,             0.00088434
                     80,                0.69929,                0.46471,                0.92169,                0.95966,                0.98285,                0.97681,                0.83514,                0.61381,                0.48794,                0.82759,             0.00087726,             0.00087726,             0.00087726
                     81,                0.66868,                0.45494,                0.92099,                0.91108,                 0.9863,                0.96788,                0.83142,                 0.6513,                0.46406,                0.82821,             0.00087019,             0.00087019,             0.00087019
                     82,                0.66505,                0.45857,                0.91123,                0.89886,                0.98353,                0.97575,                  0.831,                0.63368,                0.45218,                 0.8309,             0.00086312,             0.00086312,             0.00086312
                     83,                0.65686,                0.45524,                0.91509,                0.95216,                0.98652,                0.98198,                0.84566,                0.60523,                0.43739,                0.83901,             0.00085604,             0.00085604,             0.00085604
                     84,                0.63482,                0.42935,                0.91266,                0.93919,                0.99043,                0.97701,                0.81397,                0.65913,                0.45729,                0.84822,             0.00084897,             0.00084897,             0.00084897
                     85,                0.64952,                0.44114,                0.91597,                0.95366,                0.97646,                0.97948,                0.81928,                0.64836,                0.43669,                0.84325,              0.0008419,              0.0008419,              0.0008419
                     86,                0.64983,                0.43685,                0.92049,                0.94982,                0.98729,                0.97721,                0.84245,                0.60201,                0.42401,                0.83205,             0.00083482,             0.00083482,             0.00083482
                     87,                0.62659,                0.42303,                  0.903,                0.94793,                0.99625,                0.97562,                0.85435,                0.60785,                0.43013,                0.83828,             0.00082775,             0.00082775,             0.00082775
                     88,                0.64253,                 0.4483,                  0.913,                0.94836,                0.99259,                0.97633,                0.81136,                0.63359,                 0.4454,                0.82262,             0.00082067,             0.00082067,             0.00082067
                     89,                0.63204,                0.44591,                0.91175,                 0.8998,                0.98063,                 0.9758,                0.82668,                0.60737,                0.44252,                0.82259,              0.0008136,              0.0008136,              0.0008136
                     90,                0.63527,                0.44179,                0.91531,                0.91369,                0.98491,                0.96763,                0.84666,                0.57618,                0.44475,                0.82235,             0.00080653,             0.00080653,             0.00080653
                     91,                0.63296,                0.43997,                0.90561,                0.93327,                0.96565,                0.97952,                0.82614,                0.63522,                0.45563,                0.84927,             0.00079945,             0.00079945,             0.00079945
                     92,                0.63891,                 0.4438,                0.91709,                0.89282,                0.99077,                0.97453,                0.83822,                0.58892,                0.42497,                0.83433,             0.00079238,             0.00079238,             0.00079238
                     93,                 0.6085,                0.43604,                0.90891,                0.89033,                0.99074,                 0.9745,                0.84839,                0.59136,                0.42595,                0.82871,             0.00078531,             0.00078531,             0.00078531
                     94,                 0.6095,                0.42275,                 0.9035,                0.92488,                0.97556,                0.98254,                0.84529,                 0.5885,                0.41987,                0.81719,             0.00077823,             0.00077823,             0.00077823
                     95,                0.64427,                0.44041,                0.91213,                0.95476,                0.98701,                0.98086,                0.84736,                0.60834,                0.45464,                0.82971,             0.00077116,             0.00077116,             0.00077116
                     96,                0.60496,                  0.425,                0.90779,                0.94405,                0.99077,                0.98038,                0.85673,                0.60603,                 0.4194,                0.81526,             0.00076409,             0.00076409,             0.00076409
                     97,                0.60703,                0.41008,                0.89547,                0.95166,                0.97575,                0.98127,                  0.836,                0.62624,                0.43648,                0.81641,             0.00075701,             0.00075701,             0.00075701
                     98,                0.60936,                0.42227,                0.90534,                0.94897,                0.98285,                0.97581,                0.85887,                0.57012,                0.41544,                0.81893,             0.00074994,             0.00074994,             0.00074994
                     99,                0.60649,                0.41412,                0.89938,                0.95011,                0.98701,                0.97751,                 0.8615,                0.58157,                0.41967,                0.81709,             0.00074287,             0.00074287,             0.00074287
                    100,                0.61328,                0.41778,                0.90883,                0.89523,                0.98892,                0.98011,                0.86782,                0.58833,                0.41105,                0.82009,             0.00073579,             0.00073579,             0.00073579
                    101,                 0.6312,                0.41675,                0.90808,                0.89374,                0.98813,                0.96964,                0.82733,                0.62493,                 0.4259,                0.82486,             0.00072872,             0.00072872,             0.00072872
                    102,                 0.6069,                0.42155,                0.90908,                0.86333,                0.99136,                0.96692,                0.84484,                 0.6041,                0.41042,                0.82755,             0.00072164,             0.00072164,             0.00072164
                    103,                0.59541,                  0.409,                0.90311,                0.90666,                0.97867,                0.96962,                0.85161,                0.57658,                0.40235,                0.81684,             0.00071457,             0.00071457,             0.00071457
                    104,                 0.6244,                0.42541,                0.91097,                0.84992,                0.99598,                0.96724,                0.83719,                0.58861,                0.42687,                0.81725,              0.0007075,              0.0007075,              0.0007075
                    105,                0.59294,                0.40011,                0.90954,                0.90937,                0.99134,                 0.9728,                 0.8424,                0.59649,                0.41948,                0.82096,             0.00070042,             0.00070042,             0.00070042
                    106,                0.62371,                0.41666,                0.90754,                0.95592,                0.98524,                0.98235,                0.84874,                 0.5941,                0.40576,                0.83086,             0.00069335,             0.00069335,             0.00069335
                    107,                0.60224,                0.41754,                0.90993,                0.95579,                0.98698,                  0.986,                0.83835,                0.61325,                0.43068,                0.83513,             0.00068628,             0.00068628,             0.00068628
                    108,                 0.5721,                0.39473,                0.89469,                0.94767,                0.97083,                0.98579,                0.87823,                0.56929,                0.40994,                0.81901,              0.0006792,              0.0006792,              0.0006792
                    109,                0.60137,                0.41178,                0.90454,                0.91307,                0.98268,                0.98671,                0.85505,                0.60594,                0.40217,                0.81982,             0.00067213,             0.00067213,             0.00067213
                    110,                0.60163,                0.40441,                0.90253,                0.94851,                0.97824,                0.98295,                0.85083,                0.61278,                0.39526,                0.82341,             0.00066506,             0.00066506,             0.00066506
                    111,                0.58972,                0.40756,                0.89584,                0.95578,                0.98268,                0.98004,                0.84994,                0.60478,                0.40832,                0.82964,             0.00065798,             0.00065798,             0.00065798
                    112,                0.58329,                0.39149,                0.89718,                 0.9512,                0.98268,                0.98231,                0.86354,                 0.5654,                0.39886,                0.81699,             0.00065091,             0.00065091,             0.00065091
                    113,                0.58078,                0.41798,                0.90421,                0.95226,                0.98293,                0.98083,                0.85795,                 0.5605,                0.41366,                0.81786,             0.00064384,             0.00064384,             0.00064384
                    114,                0.56448,                0.38271,                0.89183,                0.90246,                0.98798,                0.98375,                0.87283,                0.58969,                0.41216,                0.82076,             0.00063676,             0.00063676,             0.00063676
                    115,                0.56242,                0.38475,                0.89221,                0.90913,                0.98268,                0.98192,                0.87038,                0.61916,                  0.412,                0.82327,             0.00062969,             0.00062969,             0.00062969
                    116,                0.55855,                0.38649,                0.89143,                0.91143,                0.98015,                0.97901,                0.84764,                0.61087,                0.45139,                0.83614,             0.00062262,             0.00062262,             0.00062262
                    117,                0.57106,                0.39452,                0.89887,                0.94186,                0.97293,                0.97734,                0.85787,                0.58119,                 0.4163,                0.83078,             0.00061554,             0.00061554,             0.00061554
                    118,                0.56885,                0.39227,                0.90122,                0.94731,                0.98268,                0.97547,                0.87624,                0.55264,                0.39996,                0.81206,             0.00060847,             0.00060847,             0.00060847
                    119,                0.57418,                0.38877,                0.89713,                0.95052,                0.98899,                0.98057,                0.86361,                0.56876,                0.40424,                0.81328,             0.00060139,             0.00060139,             0.00060139
                    120,                0.57482,                0.40175,                0.89235,                0.95411,                0.97755,                0.97939,                0.85978,                0.57489,                0.40617,                0.81697,             0.00059432,             0.00059432,             0.00059432
                    121,                0.58379,                0.39827,                0.89505,                0.90332,                0.97445,                0.98147,                 0.8503,                0.58552,                0.41925,                0.83014,             0.00058725,             0.00058725,             0.00058725
                    122,                0.57302,                0.37433,                0.88755,                0.95313,                0.97457,                 0.9842,                0.85749,                0.59007,                0.42162,                0.82792,             0.00058017,             0.00058017,             0.00058017
                    123,                0.56879,                0.37407,                0.89391,                0.93597,                0.95865,                0.98382,                0.87094,                0.60627,                0.41992,                0.83199,              0.0005731,              0.0005731,              0.0005731
                    124,                0.54535,                0.36734,                0.88746,                0.93644,                0.96823,                0.98239,                0.85316,                0.58298,                 0.4034,                 0.8215,             0.00056603,             0.00056603,             0.00056603
                    125,                0.54792,                0.36854,                0.88623,                0.90495,                0.99134,                0.97146,                 0.8571,                0.56421,                 0.4055,                0.81861,             0.00055895,             0.00055895,             0.00055895
                    126,                0.55035,                0.37719,                0.88624,                 0.9033,                0.99134,                0.97207,                0.86223,                0.55387,                0.39182,                0.81407,             0.00055188,             0.00055188,             0.00055188
                    127,                0.55411,                0.37201,                0.89239,                0.92954,                0.96685,                0.97624,                0.84644,                0.58592,                0.40376,                0.82269,             0.00054481,             0.00054481,             0.00054481
                    128,                0.54418,                0.37071,                 0.8832,                0.95987,                0.98268,                 0.9764,                0.85391,                0.55759,                0.40251,                0.81327,             0.00053773,             0.00053773,             0.00053773
                    129,                0.56131,                0.37465,                0.88764,                0.90707,                0.98886,                0.96955,                 0.8284,                0.59918,                 0.4239,                0.81518,             0.00053066,             0.00053066,             0.00053066
                    130,                0.53506,                0.37021,                0.88953,                0.91266,                0.98701,                0.97341,                0.86227,                0.58375,                0.40296,                0.81097,             0.00052359,             0.00052359,             0.00052359
